kind,source,symbol,guide,note
api,src/app/api/documents/templates/[id]/integrity/route.ts,,docs/engineering/flows/document-templates.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/documents/templates/[id]/preview/route.ts,,docs/engineering/flows/document-templates.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/documents/templates/[id]/route.ts,,docs/engineering/flows/document-templates.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/documents/templates/[id]/source/route.ts,,docs/engineering/flows/document-templates.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/documents/templates/[id]/text/route.ts,,docs/engineering/flows/document-templates.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/documents/templates/[id]/workflow/route.ts,,docs/engineering/flows/document-templates.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/documents/templates/route.ts,,docs/engineering/flows/document-templates.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/dp/bootstrap/route.ts,,docs/engineering/flows/dp-overview.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/dp/schedules/[scheduleId]/coverage-demands/[date]/route.ts,,docs/engineering/flows/dp-schedules.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/dp/schedules/[scheduleId]/day-offs/route.ts,,docs/engineering/flows/dp-schedules.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/dp/schedules/[scheduleId]/shifts/[shiftId]/route.ts,,docs/engineering/flows/dp-schedules.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/dp/schedules/[scheduleId]/shifts/bulk/route.ts,,docs/engineering/flows/dp-schedules.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/dp/schedules/[scheduleId]/vacations/route.ts,,docs/engineering/flows/dp-schedules.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/dp/unit-groups/[groupId]/route.ts,,docs/engineering/flows/dp-configuration.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/dp/unit-groups/route.ts,,docs/engineering/flows/dp-configuration.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/dp/unit-organizations/[organizationId]/route.ts,,docs/engineering/flows/dp-configuration.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/dp/unit-organizations/route.ts,,docs/engineering/flows/dp-configuration.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/dp/units/[unitId]/route.ts,,docs/engineering/flows/dp-configuration.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/dp/units/route.ts,,docs/engineering/flows/dp-configuration.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/dp/vacations/[vacationId]/assets/[kind]/route.ts,,docs/engineering/flows/vacation-notice.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/dp/vacations/[vacationId]/events/route.ts,,docs/engineering/flows/vacation-payment-closure.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/dp/vacations/[vacationId]/notice/route.ts,,docs/engineering/flows/vacation-notice.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/dp/vacations/[vacationId]/receipt-documents/[documentId]/route.ts,,docs/engineering/flows/vacation-receipts.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/dp/vacations/[vacationId]/route.ts,,docs/engineering/flows/vacation-payment-closure.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/dp/vacations/route.ts,,docs/engineering/flows/vacation-payment-closure.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/accounts/route.ts,,docs/engineering/flows/expenses.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/agent/route.ts,,docs/engineering/flows/financial-overview.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/analysis-routines/route.ts,,docs/engineering/flows/financial-overview.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/analysis-routines/scheduler/route.ts,,docs/engineering/runtime-surfaces.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/beneficiaries/entities/[entityId]/route.ts,,docs/engineering/flows/payment-requests.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/beneficiaries/route.ts,,docs/engineering/flows/payment-requests.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/bootstrap/route.ts,,docs/engineering/flows/expenses.md,Destino de investigacao; conferir metodo e ramo no handler.
api,src/app/api/financial/budget-inputs/route.ts,,docs/engineering/flows/financial-budgets.md,Orcamentos na main; conferir escopo por acao e gatilho.
api,src/app/api/financial/budget-projects/[id]/candidates/route.ts,,docs/engineering/flows/financial-budgets.md,Orcamentos na main; conferir escopo por acao e gatilho.
api,src/app/api/financial/budget-projects/[id]/expenses/route.ts,,docs/engineering/flows/financial-budgets.md,Orcamentos na main; conferir escopo por acao e gatilho.
api,src/app/api/financial/budget-projects/[id]/route.ts,,docs/engineering/flows/financial-budgets.md,Orcamentos na main; conferir escopo por acao e gatilho.
api,src/app/api/financial/budget-projects/route.ts,,docs/engineering/flows/financial-budgets.md,Orcamentos na main; conferir escopo por acao e gatilho.
api,src/app/api/financial/budget-rules/[id]/route.ts,,docs/engineering/flows/financial-budgets.md,Orcamentos na main; conferir escopo por acao e gatilho.
api,src/app/api/financial/budget-rules/generate/route.ts,,docs/engineering/flows/financial-budgets.md,Orcamentos na main; conferir escopo por acao e gatilho.
